"","CODE","LAT","LONG","POPULATION"
"199","E7A",47.288925630597,-68.6276119328358,3970
"200","E7B",47.4392324193548,-68.3679140725806,5757
"201","E7C",47.3549354697337,-68.202427937046,5328
"202","E7E",47.2104337090909,-67.9368239818182,4465
"203","E7G",46.9368295741935,-67.4712020645161,4097
"204","E7H",46.7475681706399,-67.6706851079046,6059
"205","E7J",46.534520956044,-67.6175293626374,2180
"206","E7K",46.4230735633075,-67.709800870801,2682
"207","E7L",46.4539684657143,-67.50767626,5439
"208","E7M",46.1573474319149,-67.6051905648936,9948
"209","E7N",46.0816737841191,-67.5865295806452,3110
"210","E7P",46.3166250242826,-67.4853321611479,3668
"211","E8A",47.5254863159609,-67.3832352540717,3585
"212","E8B",47.6513486495327,-67.2895109345794,2379
"213","E8C",48.0553143979849,-66.3782598413098,3862
"214","E8E",47.9839743041096,-66.3848808054795,5506
"215","E8G",47.9061173798883,-66.0062225586592,2916
"216","E8J",47.7950236425234,-65.7443545911215,5763
"217","E8K",47.7018972101449,-65.7419808514493,8780
"218","E8L",47.5191488543046,-65.3734347152318,2427
"219","E8M",47.6887540984848,-65.0662858939394,2005
"220","E8N",47.7859930123457,-65.0454121604938,2310
"221","E8P",47.6819595090909,-64.9174586690909,3478
"222","E8R",47.6796866976744,-65.0085181348837,3550
"223","E8S",47.7403371577726,-64.7006345313225,4652
"224","E8T",47.7573300292969,-64.6541301953125,6187
"225","E9A",47.0338507133758,-64.9609421528662,2372
"226","E9B",46.7219717142857,-65.8116211544402,2423
"227","E9C",46.5443701453287,-66.172273266436,2274
"228","E9E",46.9280705597484,-65.8228737106918,4287
"229","E9G",47.2529288188073,-65.1245013623853,5316
"230","E9H",47.3712631698113,-64.9892208820755,3055
"231","G0A",47.2119307111111,-71.4324514755556,77309
"232","G0C",48.26149708,-65.31274434,48768
"233","G0E",48.5276287575758,-66.7137578484848,5163
"234","G0G",51.0355139574468,-63.7673092553192,18155
"235","G0H",49.2571722083333,-68.160142625,11031
"236","G0J",48.5146072241379,-67.5108776896552,30614
"237","G0K",48.1336895416667,-68.6163069583333,11912
"238","G0L",47.7857921285714,-69.2178817285714,61464
"239","G0M",46.0152700740741,-70.7065195925926,34449
"240","G0N",46.1479456086957,-71.2886170434783,20013
"241","G0P",46.17145336,-71.66188828,6770
"242","G0R",46.8334267126437,-70.4222558390805,83516
"243","G0S",46.5031662758621,-71.4392978103448,70018
"244","G0T",48.2611228,-69.7566756666667,14853
"245","G0V",48.40638975,-70.94770105,16590
"246","G0W",48.77725884,-72.5052438,36141
"247","G0X",46.7010737419355,-72.6433963387097,57843
